timestamp,scenario,preset,algorithm,success,distance,risk_score,crowd_score,total_cost,time_ms,nodes_expanded,train_steps,reached_exit,exit_access_score,delta_distance_vs_dijkstra,delta_risk_vs_dijkstra,risk_reduction_pct,crowd_reduction_pct,alpha,beta,gamma,delta,epsilon,heuristic_weight
2026-05-18T04:20:59.788916+00:00,S3 Crowded main corridor,Default,astar,True,25,0.0,60.0,205.0,0.084,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:20:59.788919+00:00,S3 Crowded main corridor,Default,weighted_astar,True,27,0.0,0.0,27.0,0.148,33,,"[10, 27]",11.567,2,0.0,0.0,100.0,1,3,5,10,2,1
2026-05-18T04:20:59.788921+00:00,S3 Crowded main corridor,Default,qlearning,True,27,0.0,0.0,27.0,146.856,28,73517,"[10, 27]",11.567,2,0.0,0.0,100.0,1,3,5,10,2,1
2026-05-18T04:20:59.935586+00:00,S3 Crowded main corridor,Distance-heavy,dijkstra,True,25,0.0,60.0,135.0,0.688,436,,"[10, 27]",10.0,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.935595+00:00,S3 Crowded main corridor,Distance-heavy,astar,True,25,0.0,60.0,135.0,0.088,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:20:59.935597+00:00,S3 Crowded main corridor,Distance-heavy,weighted_astar,True,27,0.0,0.0,81.0,1.198,397,,"[10, 27]",11.567,2,0.0,0.0,100.0,3,1,2,10,1,1
2026-05-18T04:20:59.935599+00:00,S3 Crowded main corridor,Distance-heavy,qlearning,True,27,0.0,0.0,81.0,144.542,28,73214,"[10, 27]",11.567,2,0.0,0.0,100.0,3,1,2,10,1,1
2026-05-18T04:21:00.078435+00:00,S3 Crowded main corridor,Safety-heavy,dijkstra,True,25,0.0,60.0,325.0,0.694,436,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.078444+00:00,S3 Crowded main corridor,Safety-heavy,astar,True,25,0.0,60.0,325.0,0.088,26,,"[10, 27]",10.0,0,0.0,0.0,0.0,1,5,8,12,2,1
2026-05-18T04:21:00.078446+00:00,S3 Crowded main corridor,Safety-heavy,weighted_astar,True,27,0.0,0.0,27.0,0.143,33,,"[10, 27]",11.567,2,0.0,0.0,100.0,1,5,8,12,2,1
2026-05-18T04:21:00.078448+00:00,S3 Crowded main corridor,Safety-heavy,qlearning,True,27,0.0,0.0,27.0,141.761,28,72844,"[10, 27]",11.567,2,0.0,0.0,100.0,1,5,8,12,2,1
2026-05-18T04:21:00.242912+00:00,S4 Blocked exit,Default,dijkstra,True,28,0.0,0.0,28.0,0.813,519,,"[10, 27]",12.533,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.242922+00:00,S4 Blocked exit,Default,astar,True,28,0.0,0.0,28.0,0.224,98,,"[10, 27]",9.667,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.242924+00:00,S4 Blocked exit,Default,weighted_astar,True,28,0.0,0.0,28.0,0.345,98,,"[10, 27]",9.667,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.242926+00:00,S4 Blocked exit,Default,qlearning,True,28,0.0,0.0,28.0,162.921,29,74602,"[10, 27]",9.667,0,0.0,0.0,0.0,1,3,5,10,2,1
2026-05-18T04:21:00.404594+00:00,S4 Blocked exit,Distance-heavy,dijkstra,True,28,0.0,0.0,84.0,0.818,519,,"[10, 27]",12.533,0,0.0,0.0,0.0,3,1,2,10,1,1
2026-05-18T04:21:00.404600+00:00,S4 Blocked exit,Distance-heavy,astar,True,28,0.0,0.0,84.0,0.23,98,,"[10, 27]",9.667,0,0.0,0.0,0.0,3,1,2,10,1,1
